Body Part,Type of Muscle,Workout,Links
Chest,Upper Chest,Incline cable crossovers,https://youtu.be/eQ_NBB6OBH4?si=ilaPLeBxvfk9N_1W
Chest,Upper Chest,Incline dumbbell flyes,https://youtu.be/JSDpq14vCZ8?si=yxNiRkdmt58jRos2
Chest,Lower Chest,Decline dumbbell press,https://youtu.be/Pf1nDoqx_1A?si=5-e9VilccZFsxIcE
Chest,Lower Chest,Decline cable crossovers,https://youtu.be/taI4XduLpTk?si=qoJ_jDS-ibwpktoU
Chest,Lower Chest,Decline dumbbell flyes,https://youtu.be/IMALXhhHRKM?si=P06JvXVQAdzihpB9
Chest,Chest Isolation,Chest flyes,https://youtu.be/QENKPHhQVi4?si=Rp0L2JBlQxghoSzl
Chest,Chest Isolation,Cable crossovers,https://youtu.be/hhruLxo9yZU?si=S_ZE7dpPj7PLScpk
Chest,Chest Isolation,Dumbbell flyes,https://youtu.be/QENKPHhQVi4?si=Rp0L2JBlQxghoSzl
Back,Upper,Pull-ups,https://youtu.be/eGo4IYlbE5g?si=rHyqh-rDPW-CQO6G
Back,Upper,Barbell rows,https://youtu.be/bm0_q9bR_HA?si=LHa3lugItNdE72nP
Back,Upper,Dumbbell rows,https://youtu.be/DMo3HJoawrU?si=ItazlWm7WvmWbt2s
Back,Upper,Seated cable rows,https://youtu.be/UCXxvVItLoM?si=jhsPSled_lqfLhO7
Back,Lower,Bent-over rows,https://youtube.com/shorts/UL8ZcK64KxA?si=Zqi79xHP4lskgX3z
Back,Lower,Hyperextensions,https://youtu.be/ph3pddpKzzw?si=Bl_OAqJa9X4mP6ix
Back,Lower,Bird dog,https://youtu.be/k2azbhhuKuM?si=joVCg0GwdMjVzmHM
Arms,Biceps,Barbell curls,https://youtu.be/kwG2ipFRgfo?si=g-x06f9GXs33ygIH
Arms,Biceps,Dumbbell curls,https://youtu.be/6DeLZ6cbgWQ?si=0m67KMU12RzeQHE4
Arms,Biceps,Preacher curls,https://youtu.be/3mtXqrkbEfI?si=gznFlWM3mFGKECCx
Arms,Biceps,Hammer curls,https://youtu.be/BRVDS6HVR9Q?si=JiN4bA4TwKDyZDdB
Arms,Biceps,Concentration curls,https://youtu.be/VMbDQ8PZazY?si=E_RHVfUI1sxWcAbJ
Arms,Triceps,Close-grip bench press,https://youtu.be/FiQUzPtS90E?si=qgAwGQ_oHZjF4qB1
Arms,Triceps,Overhead triceps extensions,https://youtu.be/1u18yJELsh0?si=GUZAidyurVS2cKwP
Arms,Triceps,Triceps pushdowns,https://youtu.be/6Fzep104f0s?si=YkE-Sz3UWICpOQsw
Arms,Triceps,Skull crushers,https://youtu.be/1BDGIcMTSXc?si=5_Ua43CW1mS6pQr4
Arms,Triceps,Triceps dips,https://youtube.com/shorts/4ua3MzaU0QU?si=Zi8RPlO1-SvTW2Tq
Legs,Quadriceps,Barbell squats,https://youtu.be/-bJIpOq-LWk?si=jlqRMRTxGaO4i3AX
